date,symbol,momentum,acceleration,rvol,score
2026-06-08,KLAC,12.78,3.37,1.23,17.38
2026-06-08,AMAT,13.03,2.71,1.15,16.88
2026-06-08,LRCX,10.34,4.49,1.21,16.04
