date,symbol,momentum,acceleration,rvol,score
2026-06-14,ARM,66.66,11.95,1.34,79.95
2026-06-14,KLAC,34.47,4.09,1.02,39.59
2026-06-14,AMAT,28.76,2.18,1.04,31.98
