date,symbol,momentum,acceleration,rvol,score
2026-06-07,URI,13.1,0.64,1.01,14.75
2026-06-07,NUE,12.21,0.23,1.08,13.53
2026-06-07,LIN,2.84,1.73,1.38,5.96
