date,symbol,momentum,acceleration,rvol,score
2026-06-01,ARM,93.6,25.63,1.56,120.79
2026-06-01,DDOG,97.46,10.34,1.76,109.56
2026-06-01,FTNT,70.52,6.87,1.1,78.49
