date,symbol,momentum,acceleration,rvol,score
2026-06-10,FTNT,21.96,2.08,1.17,25.21
2026-06-10,KLAC,17.9,1.96,1.73,21.6
2026-06-10,AMAT,15.26,2.73,1.6,19.6
