date,symbol,momentum,acceleration,rvol,score
2026-06-11,KLAC,30.38,12.48,1.68,44.54
2026-06-11,ODFL,30.97,7.51,1.05,39.52
2026-06-11,AMAT,26.58,11.31,1.52,39.41
